지역명,평당분양가격,연도,월
서울,18189.0,2013,12
부산,8111.0,2013,12
대구,8080.0,2013,12
인천,10204.0,2013,12
광주,6098.0,2013,12
대전,8321.0,2013,12
울산,8090.0,2013,12
경기,10855.0,2013,12
세종,7601.0,2013,12
강원,6230.0,2013,12
충북,6589.0,2013,12
충남,6365.0,2013,12
전북,6282.0,2013,12
전남,5678.0,2013,12
경북,6168.0,2013,12
경남,6473.0,2013,12
제주,7674.0,2013,12
서울,17925.0,2014,1
부산,8111.0,2014,1
대구,8080.0,2014,1
인천,10204.0,2014,1
광주,7326.0,2014,1
대전,8321.0,2014,1
울산,8090.0,2014,1
경기,10855.0,2014,1
세종,7600.0,2014,1
강원,6230.0,2014,1
충북,6589.0,2014,1
충남,6365.0,2014,1
전북,6281.0,2014,1
전남,5678.0,2014,1
경북,6168.0,2014,1
경남,6485.0,2014,1
제주,7900.0,2014,1
서울,17925.0,2014,2
부산,9078.0,2014,2
대구,8077.0,2014,2
인천,10408.0,2014,2
광주,7611.0,2014,2
대전,8321.0,2014,2
울산,8090.0,2014,2
경기,10791.0,2014,2
세종,7532.0,2014,2
강원,6230.0,2014,2
충북,6611.0,2014,2
충남,6379.0,2014,2
전북,5946.0,2014,2
전남,5678.0,2014,2
경북,6234.0,2014,2
경남,6502.0,2014,2
제주,7900.0,2014,2
서울,18016.0,2014,3
부산,8965.0,2014,3
대구,8101.0,2014,3
인천,10408.0,2014,3
광주,7346.0,2014,3
대전,8341.0,2014,3
울산,8153.0,2014,3
경기,10784.0,2014,3
세종,7814.0,2014,3
강원,6141.0,2014,3
충북,6625.0,2014,3
충남,6287.0,2014,3
전북,5966.0,2014,3
전남,5696.0,2014,3
경북,6317.0,2014,3
경남,6610.0,2014,3
제주,7900.0,2014,3
서울,18098.0,2014,4
부산,9402.0,2014,4
대구,8267.0,2014,4
인천,10000.0,2014,4
광주,7346.0,2014,4
대전,8341.0,2014,4
울산,8153.0,2014,4
경기,10876.0,2014,4
세종,7908.0,2014,4
강원,6373.0,2014,4
충북,6678.0,2014,4
충남,6552.0,2014,4
전북,6277.0,2014,4
전남,5736.0,2014,4
경북,6412.0,2014,4
경남,6599.0,2014,4
제주,7900.0,2014,4
서울,19446.0,2014,5
부산,9501.0,2014,5
대구,8274.0,2014,5
인천,9844.0,2014,5
광주,7523.0,2014,5
대전,8341.0,2014,5
울산,8153.0,2014,5
경기,10646.0,2014,5
세종,7934.0,2014,5
강원,6350.0,2014,5
충북,6598.0,2014,5
충남,6591.0,2014,5
전북,6306.0,2014,5
전남,5656.0,2014,5
경북,6409.0,2014,5
경남,6610.0,2014,5
제주,7900.0,2014,5
서울,18867.0,2014,6
부산,9453.0,2014,6
대구,8360.0,2014,6
인천,10058.0,2014,6
광주,7659.0,2014,6
대전,8333.0,2014,6
울산,8153.0,2014,6
경기,10266.0,2014,6
세종,8067.0,2014,6
강원,6350.0,2014,6
충북,6587.0,2014,6
충남,6644.0,2014,6
전북,6351.0,2014,6
전남,5609.0,2014,6
경북,6554.0,2014,6
경남,6615.0,2014,6
제주,7914.0,2014,6
서울,18742.0,2014,7
부산,9457.0,2014,7
대구,8360.0,2014,7
인천,9974.0,2014,7
광주,7612.0,2014,7
대전,8333.0,2014,7
울산,8153.0,2014,7
경기,10124.0,2014,7
세종,8067.0,2014,7
강원,6268.0,2014,7
충북,6586.0,2014,7
충남,6805.0,2014,7
전북,6319.0,2014,7
전남,5780.0,2014,7
경북,6556.0,2014,7
경남,6613.0,2014,7
제주,7914.0,2014,7
서울,19274.0,2014,8
부산,9411.0,2014,8
대구,8370.0,2014,8
인천,9973.0,2014,8
광주,7622.0,2014,8
대전,8333.0,2014,8
울산,8493.0,2014,8
경기,10134.0,2014,8
세종,8141.0,2014,8
강원,6268.0,2014,8
충북,6586.0,2014,8
충남,6914.0,2014,8
전북,6436.0,2014,8
전남,5685.0,2014,8
경북,6563.0,2014,8
경남,6606.0,2014,8
제주,7914.0,2014,8
서울,19404.0,2014,9
부산,9258.0,2014,9
대구,8449.0,2014,9
인천,9973.0,2014,9
광주,7802.0,2014,9
대전,8048.0,2014,9
울산,8493.0,2014,9
경기,10501.0,2014,9
세종,8282.0,2014,9
강원,6419.0,2014,9
충북,6584.0,2014,9
충남,6882.0,2014,9
전북,6719.0,2014,9
전남,5804.0,2014,9
경북,6577.0,2014,9
경남,6767.0,2014,9
제주,7833.0,2014,9
서울,19759.0,2014,10
부산,9110.0,2014,10
대구,8403.0,2014,10
인천,10016.0,2014,10
광주,7707.0,2014,10
대전,8038.0,2014,10
울산,8627.0,2014,10
경기,10397.0,2014,10
세종,8527.0,2014,10
강원,6631.0,2014,10
충북,6529.0,2014,10
충남,6831.0,2014,10
전북,6581.0,2014,10
전남,5753.0,2014,10
경북,6778.0,2014,10
경남,6881.0,2014,10
제주,7724.0,2014,10
서울,20242.0,2014,11
부산,9208.0,2014,11
대구,8439.0,2014,11
인천,10020.0,2014,11
광주,7752.0,2014,11
대전,8067.0,2014,11
울산,8891.0,2014,11
경기,10356.0,2014,11
세종,8592.0,2014,11
강원,6365.0,2014,11
충북,6724.0,2014,11
충남,6940.0,2014,11
전북,6583.0,2014,11
전남,5768.0,2014,11
경북,6881.0,2014,11
경남,7125.0,2014,11
제주,7724.0,2014,11
서울,20269.0,2014,12
부산,9208.0,2014,12
대구,8253.0,2014,12
인천,10020.0,2014,12
광주,7748.0,2014,12
대전,8067.0,2014,12
울산,8891.0,2014,12
경기,10379.0,2014,12
세종,8560.0,2014,12
강원,6365.0,2014,12
충북,6743.0,2014,12
충남,6989.0,2014,12
전북,6583.0,2014,12
전남,5784.0,2014,12
경북,6989.0,2014,12
경남,7332.0,2014,12
제주,7739.0,2014,12
서울,20670.0,2015,1
부산,9204.0,2015,1
대구,8327.0,2015,1
인천,10017.0,2015,1
광주,7752.0,2015,1
대전,8067.0,2015,1
울산,8526.0,2015,1
경기,10391.0,2015,1
세종,8560.0,2015,1
강원,6348.0,2015,1
충북,6749.0,2015,1
충남,6976.0,2015,1
전북,6583.0,2015,1
전남,5784.0,2015,1
경북,6992.0,2015,1
경남,7592.0,2015,1
제주,7739.0,2015,1
서울,20670.0,2015,2
부산,9235.0,2015,2
대구,8416.0,2015,2
인천,9876.0,2015,2
광주,7756.0,2015,2
대전,8067.0,2015,2
울산,8526.0,2015,2
경기,10355.0,2015,2
세종,8560.0,2015,2
강원,6350.0,2015,2
충북,6747.0,2015,2
충남,6980.0,2015,2
전북,6583.0,2015,2
전남,5833.0,2015,2
경북,6953.0,2015,2
경남,7588.0,2015,2
제주,7739.0,2015,2
서울,19415.0,2015,3
부산,9279.0,2015,3
대구,8441.0,2015,3
인천,9876.0,2015,3
광주,7861.0,2015,3
대전,8067.0,2015,3
울산,8629.0,2015,3
경기,10469.0,2015,3
세종,8555.0,2015,3
강원,6182.0,2015,3
충북,6783.0,2015,3
충남,7161.0,2015,3
전북,6542.0,2015,3
전남,5825.0,2015,3
경북,6997.0,2015,3
경남,7668.0,2015,3
제주,7826.0,2015,3
서울,18842.0,2015,4
부산,9327.0,2015,4
대구,8446.0,2015,4
인천,9938.0,2015,4
광주,7914.0,2015,4
대전,8145.0,2015,4
울산,9380.0,2015,4
경기,10684.0,2015,4
세종,8546.0,2015,4
강원,6924.0,2015,4
충북,6790.0,2015,4
충남,7017.0,2015,4
전북,6551.0,2015,4
전남,5940.0,2015,4
경북,7006.0,2015,4
경남,7683.0,2015,4
제주,7285.0,2015,4
서울,18367.0,2015,5
부산,9345.0,2015,5
대구,8568.0,2015,5
인천,10551.0,2015,5
광주,7877.0,2015,5
대전,8272.0,2015,5
울산,9192.0,2015,5
경기,10685.0,2015,5
세종,8546.0,2015,5
강원,6846.0,2015,5
충북,6805.0,2015,5
충남,6975.0,2015,5
전북,6556.0,2015,5
전남,6050.0,2015,5
경북,6966.0,2015,5
경남,7717.0,2015,5
제주,7285.0,2015,5
서울,18374.0,2015,6
부산,9515.0,2015,6
대구,8542.0,2015,6
인천,10443.0,2015,6
광주,7881.0,2015,6
대전,8079.0,2015,6
울산,9190.0,2015,6
경기,10573.0,2015,6
세종,8671.0,2015,6
강원,6986.0,2015,6
충북,6682.0,2015,6
충남,6939.0,2015,6
전북,6601.0,2015,6
전남,6243.0,2015,6
경북,6887.0,2015,6
경남,7715.0,2015,6
제주,7343.0,2015,6
서울,18152.0,2015,7
부산,9559.0,2015,7
대구,8542.0,2015,7
인천,10443.0,2015,7
광주,8089.0,2015,7
대전,8079.0,2015,7
울산,9190.0,2015,7
경기,10518.0,2015,7
세종,8669.0,2015,7
강원,7019.0,2015,7
충북,6601.0,2015,7
충남,6935.0,2015,7
전북,6750.0,2015,7
전남,6286.0,2015,7
경북,7035.0,2015,7
경남,7723.0,2015,7
제주,7343.0,2015,7
서울,18443.0,2015,8
부산,9581.0,2015,8
대구,8795.0,2015,8
인천,10449.0,2015,8
광주,8231.0,2015,8
대전,8079.0,2015,8
울산,9215.0,2015,8
경기,10573.0,2015,8
세종,8695.0,2015,8
강원,7008.0,2015,8
충북,6603.0,2015,8
충남,6942.0,2015,8
전북,6580.0,2015,8
전남,6289.0,2015,8
경북,7037.0,2015,8
경남,7665.0,2015,8
제주,7343.0,2015,8
서울,19275.3,2015,10
인천,10437.9,2015,10
경기,10355.4,2015,10
부산,10269.6,2015,10
대구,8850.6,2015,10
