지역명,전용면적,연도,월,평당분양가격
서울,모든면적,2015,10,19275.3
서울,60m²,2015,10,18651.6
서울,60m²~85m²,2015,10,19410.6
서울,85m²~102m²,2015,10,18879.3
서울,102m²~,2015,10,19400.7
인천,모든면적,2015,10,10437.9
인천,60m²,2015,10,11510.4
인천,60m²~85m²,2015,10,10292.699999999999
인천,85m²~102m²,2015,10,11698.5
인천,102m²~,2015,10,11246.4
경기,모든면적,2015,10,10355.4
경기,60m²,2015,10,10315.8
경기,60m²~85m²,2015,10,10688.699999999999
경기,85m²~102m²,2015,10,11536.8
경기,102m²~,2015,10,12144.0
부산,모든면적,2015,10,10269.599999999999
부산,60m²,2015,10,9735.0
부산,60m²~85m²,2015,10,9896.699999999999
부산,85m²~102m²,2015,10,9758.1
부산,102m²~,2015,10,11550.0
대구,모든면적,2015,10,8850.6
대구,60m²,2015,10,8626.199999999999
대구,60m²~85m²,2015,10,8896.8
대구,85m²~102m²,2015,10,8438.1
대구,102m²~,2015,10,8573.4
광주,모든면적,2015,10,7986.0
광주,60m²,2015,10,7434.9
광주,60m²~85m²,2015,10,8048.7
광주,85m²~102m²,2015,10,
광주,102m²~,2015,10,
대전,모든면적,2015,10,8098.2
대전,60m²,2015,10,8530.5
대전,60m²~85m²,2015,10,8012.4
대전,85m²~102m²,2015,10,8121.299999999999
대전,102m²~,2015,10,
울산,모든면적,2015,10,10074.9
울산,60m²,2015,10,7992.599999999999
울산,60m²~85m²,2015,10,10032.0
울산,85m²~102m²,2015,10,9738.3
울산,102m²~,2015,10,8877.0
세종,모든면적,2015,10,8718.6
세종,60m²,2015,10,8487.6
세종,60m²~85m²,2015,10,8768.1
세종,85m²~102m²,2015,10,8725.199999999999
세종,102m²~,2015,10,8883.6
강원,모든면적,2015,10,7151.099999999999
강원,60m²,2015,10,7543.799999999999
강원,60m²~85m²,2015,10,7299.599999999999
강원,85m²~102m²,2015,10,6801.299999999999
강원,102m²~,2015,10,7164.299999999999
충북,모든면적,2015,10,6705.599999999999
충북,60m²,2015,10,6332.7
충북,60m²~85m²,2015,10,6708.9
충북,85m²~102m²,2015,10,6936.599999999999
충북,102m²~,2015,10,7817.7
충남,모든면적,2015,10,6926.7
충남,60m²,2015,10,7279.799999999999
충남,60m²~85m²,2015,10,6933.299999999999
충남,85m²~102m²,2015,10,9051.9
충남,102m²~,2015,10,8058.599999999999
전북,모든면적,2015,10,6778.2
전북,60m²,2015,10,7019.099999999999
전북,60m²~85m²,2015,10,6784.799999999999
전북,85m²~102m²,2015,10,7844.099999999999
전북,102m²~,2015,10,7425.0
전남,모든면적,2015,10,6352.5
전남,60m²,2015,10,6596.7
전남,60m²~85m²,2015,10,6342.599999999999
전남,85m²~102m²,2015,10,7464.599999999999
전남,102m²~,2015,10,7563.599999999999
경북,모든면적,2015,10,7088.4
경북,60m²,2015,10,7273.2
경북,60m²~85m²,2015,10,7078.5
경북,85m²~102m²,2015,10,7616.4
경북,102m²~,2015,10,7332.599999999999
경남,모든면적,2015,10,7560.299999999999
경남,60m²,2015,10,7388.7
경남,60m²~85m²,2015,10,7606.5
경남,85m²~102m²,2015,10,9537.0
경남,102m²~,2015,10,9946.199999999999
제주,모든면적,2015,10,7365.599999999999
제주,60m²,2015,10,
제주,60m²~85m²,2015,10,7342.5
제주,85m²~102m²,2015,10,8523.9
제주,102m²~,2015,10,8494.199999999999
서울,모든면적,2015,11,19965.0
서울,60m²,2015,11,20856.0
서울,60m²~85m²,2015,11,19681.2
서울,85m²~102m²,2015,11,23403.6
서울,102m²~,2015,11,21618.3
인천,모든면적,2015,11,10507.199999999999
인천,60m²,2015,11,10982.4
인천,60m²~85m²,2015,11,10292.699999999999
인천,85m²~102m²,2015,11,11698.5
인천,102m²~,2015,11,11246.4
경기,모든면적,2015,11,10223.4
경기,60m²,2015,11,10160.699999999999
경기,60m²~85m²,2015,11,10566.599999999999
경기,85m²~102m²,2015,11,11190.3
