제목,링크,썸네일,sizeheight,sizewidth
[홍은]통바지 데님 연청 여자 하이웨이스트 와이드 청바지 | 텐바이텐,https://thumbnail.10x10.co.kr/webimage/image/basic600/741/B007415375.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.10x10.co.kr%2Fwebimage%2Fimage%2Fbasic600%2F741%2FB007415375.jpg%3Fcmd%3Dthumb%26w%3D500%26h%3D500%26fit%3Dtrue%26ws%3Dfalse,500,500
여성용 와이드 하이웨스트 데님팬츠 데일리 청바지 5516,http://shopping.phinf.naver.net/main_5712970/57129708867.20251008173842.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_5712970%2F57129708867.20251008173842.jpg,800,800
가을 겨울 일자핏 캐주얼 와이드 청바지 DNZK03 : 스마트 공장,http://shop1.phinf.naver.net/20241125_266/1732510278153wsFte_JPEG/15740131969823002_974136465.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20241125_266%2F1732510278153wsFte_JPEG%2F15740131969823002_974136465.jpg,916,750
여자 스키니진 스판 타이트 청바지 | 텐바이텐,https://thumbnail.10x10.co.kr/webimage/image/basic600/446/B004462242.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.10x10.co.kr%2Fwebimage%2Fimage%2Fbasic600%2F446%2FB004462242.jpg%3Fcmd%3Dthumb%26w%3D500%26h%3D500%26fit%3Dtrue%26ws%3Dfalse,500,500
남자 와이드 스랙스 9부 바지 가 남성 청바지 루즈한 스트레이트 리 광저우 : songsm0914,http://shop1.phinf.naver.net/20260331_151/1774920037558gnkDp_PNG/737525176343.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20260331_151%2F1774920037558gnkDp_PNG%2F737525176343.png,1000,750
남자밴딩청바지 세미와이드청바지 통청바지 : 윤팬츠,http://shop1.phinf.naver.net/20250902_117/1756778638679WVm39_JPEG/45595408444689758_1757798715.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20250902_117%2F1756778638679WVm39_JPEG%2F45595408444689758_1757798715.jpg,1000,1026
지앤제이 라이크 슬림 일자진 여자청바지 청바지,https://cdn2.halfclub.com/cdn/product/A7548/P375591065/1_P375591065_basic_1779952758915.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fcdn2.halfclub.com%2Fcdn%2Fproduct%2FA7548%2FP375591065%2F1_P375591065_basic_1779952758915.jpg,640,640
여성 데일리 핀턱 오버핏 배기 데님 청바지 | 텐바이텐,https://thumbnail.10x10.co.kr/webimage/image/basic600/459/B004597827.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.10x10.co.kr%2Fwebimage%2Fimage%2Fbasic600%2F459%2FB004597827.jpg%3Fcmd%3Dthumb%26w%3D500%26h%3D500%26fit%3Dtrue%26ws%3Dfalse,500,500
남성용 하계 캐주얼 빅사이즈 스판 얇은 일자 청바지 긴바지 프리미엄 패피2 : 소미152,https://shop-phinf.pstatic.net/20251023_1/1761203651990G1KOE_JPEG/7160725811192907_176903265.jpeg,https://search.pstatic.net/common/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20251023_1%2F1761203651990G1KOE_JPEG%2F7160725811192907_176903265.jpeg,800,800
바지 남친 캐주얼 봄 어울리는 청바지 일자 핏 비즈니스 빅사이즈 스트레이트 스판 신당 스트레이트핏 경량 admr1 : 사계절플로우,https://shop-phinf.pstatic.net/20250624_59/1750759175313oxQsp_JPEG/5370220565092316_1867932069.jpeg,https://search.pstatic.net/common/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20250624_59%2F1750759175313oxQsp_JPEG%2F5370220565092316_1867932069.jpeg,500,500
여자 여름 물놀이 워터파크 찢청 청바지 | 텐바이텐,https://thumbnail.10x10.co.kr/webimage/image/basic600/472/B004726018.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.10x10.co.kr%2Fwebimage%2Fimage%2Fbasic600%2F472%2FB004726018.jpg%3Fcmd%3Dthumb%26w%3D500%26h%3D500%26fit%3Dtrue%26ws%3Dfalse,500,500
남자 와이드 스랙스 9부 바지 짧은 남성용 청바지 루즈 스트레이트 트렌디 브랜드 남 : songsm0914,http://shop1.phinf.naver.net/20260331_127/1774920162956HTSsf_PNG/899139314039.png,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20260331_127%2F1774920162956HTSsf_PNG%2F899139314039.png,800,800
ASK 기본 페인팅 청바지 AP5MDP027,http://shopping.phinf.naver.net/main_5362828/5362828669.20130206121218.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_5362828%2F5362828669.20130206121218.jpg,500,500
와이드 일자 디스트로이드 찢어진청바지 : LOOKON,http://shop1.phinf.naver.net/20230315_211/1678864091714gKilx_JPEG/79999919533051184_431901173.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20230315_211%2F1678864091714gKilx_JPEG%2F79999919533051184_431901173.jpg,1000,1000
남자 캐주얼 프리미엄 와이드핏 데님 청바지 KSM-JEA-SA0723010,https://cdn2.halfclub.com/cdn/product/A6894/P390094174/1_P390094174_basic_1742539475433.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fcdn2.halfclub.com%2Fcdn%2Fproduct%2FA6894%2FP390094174%2F1_P390094174_basic_1742539475433.jpg,1000,1000
Calvin Klein Jeans 스트레이트 청바지 111100018,http://shopping.phinf.naver.net/main_6623360/6623360662.20121011104602.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_6623360%2F6623360662.20121011104602.jpg,500,500
남자 와이드 다리길어보이는 키작남 남자통 흑청 허벅돼청바지 : 맨앤시티,http://shop1.phinf.naver.net/20230912_189/1694524009555VQqIK_JPEG/7779237373365184_84040426.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20230912_189%2F1694524009555VQqIK_JPEG%2F7779237373365184_84040426.jpg,1000,1000
[아우라 5126번 여름] 난스판 얇은 와이드 청바지 : 천호동 호랑나비,http://shop1.phinf.naver.net/20250323_195/1742697101203eC2lI_JPEG/25129172168155400_1788285590.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20250323_195%2F1742697101203eC2lI_JPEG%2F25129172168155400_1788285590.jpg,1245,1080
남자와이드청바지 흑청바지 : 패션큐브,http://shop1.phinf.naver.net/20260227_21/1772118188562P4UsL_JPEG/106250980637142320_3341250.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20260227_21%2F1772118188562P4UsL_JPEG%2F106250980637142320_3341250.jpg,1000,1000
남자 엠브이피 밴딩 9부 스판 청바지 D03S14_pj2646 : 다꾸앙,http://shop1.phinf.naver.net/20230203_3/16753962243997WV9R_JPEG/105533_16.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20230203_3%2F16753962243997WV9R_JPEG%2F105533_16.jpg,1000,1000
제로시아 여성용 조거 청바지 스판 데님 팬츠 9부 밴딩 - 청바지 | 쿠팡,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/a561/7c138456f25ea8ac8ef524bc1984d6dd70d8ae4467a861996e5011bd1ebf.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.coupangcdn.com%2Fthumbnails%2Fremote%2F492x492ex%2Fimage%2Fvendor_inventory%2Fa561%2F7c138456f25ea8ac8ef524bc1984d6dd70d8ae4467a861996e5011bd1ebf.jpg,492,492
여자 하이웨스트 레그 와이드핏 찢어진 데님 청바지 : 수상한 만물상점,https://shop-phinf.pstatic.net/20250825_68/1756054628321CXCuk_JPEG/90187483234747964_381818022.jpg,https://search.pstatic.net/common/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20250825_68%2F1756054628321CXCuk_JPEG%2F90187483234747964_381818022.jpg,1000,1000
남성 봄 가을 얇은 청바지 중년 캐주얼 오피스룩 - 하의류 | 쿠팡,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/6932/d82549d7b9b255f51a58549e8faa9c2be59929bcfd019fd718753d0e323b.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.coupangcdn.com%2Fthumbnails%2Fremote%2F492x492ex%2Fimage%2Fvendor_inventory%2F6932%2Fd82549d7b9b255f51a58549e8faa9c2be59929bcfd019fd718753d0e323b.jpg,492,492
여자 핀턱 밴딩 배기 편한 데일리 펑퍼짐 청바지 | 텐바이텐,https://thumbnail.10x10.co.kr/webimage/image/basic600/380/B003808010.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.10x10.co.kr%2Fwebimage%2Fimage%2Fbasic600%2F380%2FB003808010.jpg%3Fcmd%3Dthumb%26w%3D500%26h%3D500%26fit%3Dtrue%26ws%3Dfalse,500,500
미니으니 여자 와이드 청바지 280 M,http://shopping.phinf.naver.net/main_5708966/57089665673.20251004201802.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_5708966%2F57089665673.20251004201802.jpg,500,500
뱅뱅 쿨맥스 인밴드 레귤러핏 청바지 NQM168,http://shopping.phinf.naver.net/main_5893788/58937882869.20260623072327.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshopping.phinf.naver.net%2Fmain_5893788%2F58937882869.20260623072327.jpg,1000,1000
피어니스트 여성용 슬림 스트레치 부츠컷 데님 청바지 - 청바지 | 쿠팡,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/rs_quotation_api/zrjdvsyx/b0f0b4a0a5124a309da77e93d63ad194.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fthumbnail.coupangcdn.com%2Fthumbnails%2Fremote%2F492x492ex%2Fimage%2Frs_quotation_api%2Fzrjdvsyx%2Fb0f0b4a0a5124a309da77e93d63ad194.jpg,492,492
[노보] 세미일자 10부 스판 인밴딩 와이핏 청바지 NG3JB31I18B11 | 스퀘어몰,https://shop-phinf.pstatic.net/20241016_297/1729064646848XxeOS_JPEG/%EB%88%84%EB%81%BC_%EB%AA%A8%EB%8D%B8_%EC%98%86_%EB%B3%B5%EC%82%AC.jpg?type=w860,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fshop-phinf.pstatic.net%2F20241016_297%2F1729064646848XxeOS_JPEG%2F%25EB%2588%2584%25EB%2581%25BC_%25EB%25AA%25A8%25EB%258D%25B8_%25EC%2598%2586_%25EB%25B3%25B5%25EC%2582%25AC.jpg%3Ftype%3Dw860,1146,860
뱅뱅 NFB471 여성 캣워싱 밴딩 크롭 와이드 청바지(NQM269) : NC동수원점 뱅뱅,http://shop1.phinf.naver.net/20260318_104/1773811906403SfMCx_JPEG/107944849538089361_873943557.JPG,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fshop1.phinf.naver.net%2F20260318_104%2F1773811906403SfMCx_JPEG%2F107944849538089361_873943557.JPG,1222,737
가죽자켓에 청바지면 꾸밈정도 얼마임 | 오르비 가죽자켓에 청바지면 꾸밈정도 얼마임 - 오르비,https://s3.orbi.kr/data/file/united2/f8e8c14149414a12a4bb6738bd4709bb.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fs3.orbi.kr%2Fdata%2Ffile%2Funited2%2Ff8e8c14149414a12a4bb6738bd4709bb.jpeg,832,619
