"compactness","surface_area","wall_area","roof_area","height","orientation","glazing_area","glazing_area_distribution","electricity"
0.98,514.5,294,110.25,7,2,0,0,155.5
0.98,514.5,294,110.25,7,3,0,0,155.5
0.98,514.5,294,110.25,7,4,0,0,155.5
0.98,514.5,294,110.25,7,5,0,0,155.5
0.9,563.5,318.5,122.5,7,2,0,0,208.4
0.9,563.5,318.5,122.5,7,3,0,0,214.6
0.9,563.5,318.5,122.5,7,4,0,0,207.1
0.9,563.5,318.5,122.5,7,5,0,0,196.8
0.86,588,294,147,7,2,0,0,195
0.86,588,294,147,7,3,0,0,199.5
0.86,588,294,147,7,4,0,0,193.4
0.86,588,294,147,7,5,0,0,183.1
0.82,612.5,318.5,147,7,2,0,0,170.5
0.82,612.5,318.5,147,7,3,0,0,174.1
0.82,612.5,318.5,147,7,4,0,0,169.5
0.82,612.5,318.5,147,7,5,0,0,159.8
0.79,637,343,147,7,2,0,0,285.2
0.79,637,343,147,7,3,0,0,299
0.79,637,343,147,7,4,0,0,296.3
0.79,637,343,147,7,5,0,0,287.5
0.76,661.5,416.5,122.5,7,2,0,0,247.7
0.76,661.5,416.5,122.5,7,3,0,0,239.3
0.76,661.5,416.5,122.5,7,4,0,0,247.7
0.76,661.5,416.5,122.5,7,5,0,0,239.3
0.74,686,245,220.5,3.5,2,0,0,60.7
0.74,686,245,220.5,3.5,3,0,0,60.5
0.74,686,245,220.5,3.5,4,0,0,60.1
0.74,686,245,220.5,3.5,5,0,0,60.4
0.71,710.5,269.5,220.5,3.5,2,0,0,63.7
0.71,710.5,269.5,220.5,3.5,3,0,0,64
0.71,710.5,269.5,220.5,3.5,4,0,0,63.7
0.71,710.5,269.5,220.5,3.5,5,0,0,64
0.69,735,294,220.5,3.5,2,0,0,68.5
0.69,735,294,220.5,3.5,3,0,0,67.9
0.69,735,294,220.5,3.5,4,0,0,67.7
0.69,735,294,220.5,3.5,5,0,0,68.1
0.66,759.5,318.5,220.5,3.5,2,0,0,71.8
0.66,759.5,318.5,220.5,3.5,3,0,0,71
0.66,759.5,318.5,220.5,3.5,4,0,0,71
0.66,759.5,318.5,220.5,3.5,5,0,0,71
0.64,784,343,220.5,3.5,2,0,0,108.5
0.64,784,343,220.5,3.5,3,0,0,105.4
0.64,784,343,220.5,3.5,4,0,0,107.7
0.64,784,343,220.5,3.5,5,0,0,105.6
0.62,808.5,367.5,220.5,3.5,2,0,0,86
0.62,808.5,367.5,220.5,3.5,3,0,0,84.9
0.62,808.5,367.5,220.5,3.5,4,0,0,84.5
0.62,808.5,367.5,220.5,3.5,5,0,0,85
0.98,514.5,294,110.25,7,2,0.1,1,245.8
0.98,514.5,294,110.25,7,3,0.1,1,246.3
0.98,514.5,294,110.25,7,4,0.1,1,246.3
0.98,514.5,294,110.25,7,5,0.1,1,245.9
0.9,563.5,318.5,122.5,7,2,0.1,1,290.3
0.9,563.5,318.5,122.5,7,3,0.1,1,298.7
0.9,563.5,318.5,122.5,7,4,0.1,1,291.4
0.9,563.5,318.5,122.5,7,5,0.1,1,280.9
0.86,588,294,147,7,2,0.1,1,262.8
0.86,588,294,147,7,3,0.1,1,269.1
0.86,588,294,147,7,4,0.1,1,263.7
0.86,588,294,147,7,5,0.1,1,252.7
0.82,612.5,318.5,147,7,2,0.1,1,235.3
0.82,612.5,318.5,147,7,3,0.1,1,240.3
0.82,612.5,318.5,147,7,4,0.1,1,235.4
0.82,612.5,318.5,147,7,5,0.1,1,225.8
0.79,637,343,147,7,2,0.1,1,355.6
0.79,637,343,147,7,3,0.1,1,371.2
0.79,637,343,147,7,4,0.1,1,369
0.79,637,343,147,7,5,0.1,1,359.4
0.76,661.5,416.5,122.5,7,2,0.1,1,329.6
0.76,661.5,416.5,122.5,7,3,0.1,1,321.2
0.76,661.5,416.5,122.5,7,4,0.1,1,329.4
0.76,661.5,416.5,122.5,7,5,0.1,1,322.1
0.74,686,245,220.5,3.5,2,0.1,1,103.6
0.74,686,245,220.5,3.5,3,0.1,1,104.3
0.74,686,245,220.5,3.5,4,0.1,1,103.6
0.74,686,245,220.5,3.5,5,0.1,1,103.9
0.71,710.5,269.5,220.5,3.5,2,0.1,1,107.1
0.71,710.5,269.5,220.5,3.5,3,0.1,1,108
0.71,710.5,269.5,220.5,3.5,4,0.1,1,107
0.71,710.5,269.5,220.5,3.5,5,0.1,1,107.5
0.69,735,294,220.5,3.5,2,0.1,1,111.1
0.69,735,294,220.5,3.5,3,0.1,1,111.3
0.69,735,294,220.5,3.5,4,0.1,1,110.9
0.69,735,294,220.5,3.5,5,0.1,1,111.6
0.66,759.5,318.5,220.5,3.5,2,0.1,1,116.8
0.66,759.5,318.5,220.5,3.5,3,0.1,1,116.9
0.66,759.5,318.5,220.5,3.5,4,0.1,1,117
0.66,759.5,318.5,220.5,3.5,5,0.1,1,116.9
0.64,784,343,220.5,3.5,2,0.1,1,154.1
0.64,784,343,220.5,3.5,3,0.1,1,152
0.64,784,343,220.5,3.5,4,0.1,1,154.2
0.64,784,343,220.5,3.5,5,0.1,1,152.1
0.62,808.5,367.5,220.5,3.5,2,0.1,1,129.6
0.62,808.5,367.5,220.5,3.5,3,0.1,1,129.7
0.62,808.5,367.5,220.5,3.5,4,0.1,1,129.3
0.62,808.5,367.5,220.5,3.5,5,0.1,1,130.2
0.98,514.5,294,110.25,7,2,0.1,2,242.9
0.98,514.5,294,110.25,7,3,0.1,2,243.1
0.98,514.5,294,110.25,7,4,0.1,2,241.3
0.98,514.5,294,110.25,7,5,0.1,2,242.5
0.9,563.5,318.5,122.5,7,2,0.1,2,288.8
0.9,563.5,318.5,122.5,7,3,0.1,2,296.8
0.9,563.5,318.5,122.5,7,4,0.1,2,288.3
0.9,563.5,318.5,122.5,7,5,0.1,2,279
0.86,588,294,147,7,2,0.1,2,264.8
0.86,588,294,147,7,3,0.1,2,270.2
0.86,588,294,147,7,4,0.1,2,263.3
0.86,588,294,147,7,5,0.1,2,253.6
0.82,612.5,318.5,147,7,2,0.1,2,237.5
0.82,612.5,318.5,147,7,3,0.1,2,242.3
0.82,612.5,318.5,147,7,4,0.1,2,236.7
0.82,612.5,318.5,147,7,5,0.1,2,227.9
0.79,637,343,147,7,2,0.1,2,356.5
0.79,637,343,147,7,3,0.1,2,372.6
0.79,637,343,147,7,4,0.1,2,369.7
0.79,637,343,147,7,5,0.1,2,360.3
0.76,661.5,416.5,122.5,7,2,0.1,2,331.6
0.76,661.5,416.5,122.5,7,3,0.1,2,324
0.76,661.5,416.5,122.5,7,4,0.1,2,331.2
0.76,661.5,416.5,122.5,7,5,0.1,2,324.1
0.74,686,245,220.5,3.5,2,0.1,2,104.2
0.74,686,245,220.5,3.5,3,0.1,2,104.6
0.74,686,245,220.5,3.5,4,0.1,2,103.2
0.74,686,245,220.5,3.5,5,0.1,2,104.5
0.71,710.5,269.5,220.5,3.5,2,0.1,2,106.4
0.71,710.5,269.5,220.5,3.5,3,0.1,2,107.2
0.71,710.5,269.5,220.5,3.5,4,0.1,2,105.5
0.71,710.5,269.5,220.5,3.5,5,0.1,2,106.8
0.69,735,294,220.5,3.5,2,0.1,2,114.5
0.69,735,294,220.5,3.5,3,0.1,2,114.6
0.69,735,294,220.5,3.5,4,0.1,2,113.2
0.69,735,294,220.5,3.5,5,0.1,2,114.9
0.66,759.5,318.5,220.5,3.5,2,0.1,2,114.5
0.66,759.5,318.5,220.5,3.5,3,0.1,2,114.2
0.66,759.5,318.5,220.5,3.5,4,0.1,2,113.3
0.66,759.5,318.5,220.5,3.5,5,0.1,2,114.3
0.64,784,343,220.5,3.5,2,0.1,2,154.1
0.64,784,343,220.5,3.5,3,0.1,2,151.8
0.64,784,343,220.5,3.5,4,0.1,2,153.4
0.64,784,343,220.5,3.5,5,0.1,2,151.9
0.62,808.5,367.5,220.5,3.5,2,0.1,2,128.8
0.62,808.5,367.5,220.5,3.5,3,0.1,2,130
0.62,808.5,367.5,220.5,3.5,4,0.1,2,129.7
0.62,808.5,367.5,220.5,3.5,5,0.1,2,130.4
0.98,514.5,294,110.25,7,2,0.1,3,242.8
0.98,514.5,294,110.25,7,3,0.1,3,244
0.98,514.5,294,110.25,7,4,0.1,3,241.1
0.98,514.5,294,110.25,7,5,0.1,3,243.5
0.9,563.5,318.5,122.5,7,2,0.1,3,280.7
0.9,563.5,318.5,122.5,7,3,0.1,3,290.1
0.9,563.5,318.5,122.5,7,4,0.1,3,296.2
0.9,563.5,318.5,122.5,7,5,0.1,3,290.5
0.86,588,294,147,7,2,0.1,3,254.1
0.86,588,294,147,7,3,0.1,3,264.7
0.86,588,294,147,7,4,0.1,3,268.9
0.86,588,294,147,7,5,0.1,3,264.6
0.82,612.5,318.5,147,7,2,0.1,3,229.3
0.82,612.5,318.5,147,7,3,0.1,3,238.4
0.82,612.5,318.5,147,7,4,0.1,3,241.7
0.82,612.5,318.5,147,7,5,0.1,3,238.7
0.79,637,343,147,7,2,0.1,3,357.8
0.79,637,343,147,7,3,0.1,3,354.8
0.79,637,343,147,7,4,0.1,3,369.7
0.79,637,343,147,7,5,0.1,3,367
0.76,661.5,416.5,122.5,7,2,0.1,3,325.2
