token,경주빈도,전주빈도,빈도합,경주비율,전주비율
한옥마을,0,315,315,0.0,100.0
알라딘,134,50,184,72.8,27.2
경북,92,0,92,100.0,0.0
완산,0,80,80,0.0,100.0
덕진,0,80,80,0.0,100.0
전북,0,67,67,0.0,100.0
조선,0,65,65,0.0,100.0
불국사,61,0,61,100.0,0.0
한국,5,51,56,8.9,91.1
우리,38,10,48,79.2,20.8
서울,20,25,45,44.4,55.6
신라,40,0,40,100.0,0.0
안압지,38,0,38,100.0,0.0
에코,0,30,30,0.0,100.0
전라북도,0,28,28,0.0,100.0
이곳,5,23,28,17.9,82.1
여기,20,5,25,80.0,20.0
한옥,5,20,25,20.0,80.0
서재,10,15,25,40.0,60.0
대한민국,0,25,25,0.0,100.0
견훤,0,25,25,0.0,100.0
전동성당,0,24,24,0.0,100.0
브런치,0,20,20,0.0,100.0
울산,18,0,18,100.0,0.0
완산구,0,18,18,0.0,100.0
어디,5,11,16,31.2,68.8
카페,10,6,16,62.5,37.5
아덴,15,0,15,100.0,0.0
양동,15,0,15,100.0,0.0
루이,0,15,15,0.0,100.0
레일바이크,0,15,15,0.0,100.0
광주,0,15,15,0.0,100.0
교동,0,15,15,0.0,100.0
군산,0,15,15,0.0,100.0
읍천항,15,0,15,100.0,0.0
김주미,0,15,15,0.0,100.0
당신,10,5,15,66.7,33.3
보문호,15,0,15,100.0,0.0
경상북도,15,0,15,100.0,0.0
그곳,5,10,15,33.3,66.7
초코파이,0,15,15,0.0,100.0
무엇,0,13,13,0.0,100.0
마이산,0,13,13,0.0,100.0
둘레길,5,6,11,45.5,54.5
노천온천,10,0,10,100.0,0.0
통일전,10,0,10,100.0,0.0
저희,10,0,10,100.0,0.0
코파,0,10,10,0.0,100.0
코로나,10,0,10,100.0,0.0
클라라,10,0,10,100.0,0.0
키워드,10,0,10,100.0,0.0
토함산,10,0,10,100.0,0.0
포스팅,5,5,10,50.0,50.0
트레,10,0,10,100.0,0.0
울주,10,0,10,100.0,0.0
태조,0,10,10,0.0,100.0
강동면,10,0,10,100.0,0.0
황오,10,0,10,100.0,0.0
힐튼,10,0,10,100.0,0.0
풍년제,0,10,10,0.0,100.0
한국도로공사,0,10,10,0.0,100.0
고분군,0,10,10,0.0,100.0
누구,0,10,10,0.0,100.0
한울,0,10,10,0.0,100.0
구일집,0,10,10,0.0,100.0
강릉,10,0,10,100.0,0.0
시래,0,10,10,0.0,100.0
황남빵,10,0,10,100.0,0.0
코리아,0,10,10,0.0,100.0
에도,10,0,10,100.0,0.0
임실,0,10,10,0.0,100.0
제주,0,10,10,0.0,100.0
버드,10,0,10,100.0,0.0
이성계,0,10,10,0.0,100.0
이다,0,10,10,0.0,100.0
슈만,10,0,10,100.0,0.0
유럽,0,10,10,0.0,100.0
박광일,10,0,10,100.0,0.0
김제,0,10,10,0.0,100.0
동방역,10,0,10,100.0,0.0
조선왕조실록,0,10,10,0.0,100.0
완주,0,8,8,0.0,100.0
소양,0,8,8,0.0,100.0
최명희,0,7,7,0.0,100.0
리뷰,0,7,7,0.0,100.0
풍남동,0,6,6,0.0,100.0
아시아,0,5,5,0.0,100.0
데크,0,5,5,0.0,100.0
덕진구,0,5,5,0.0,100.0
스테이,0,5,5,0.0,100.0
슬치,0,5,5,0.0,100.0
카라멜,0,5,5,0.0,100.0
아중역,0,5,5,0.0,100.0
코티지,0,5,5,0.0,100.0
승광,0,5,5,0.0,100.0
이싸,0,5,5,0.0,100.0
일바,0,5,5,0.0,100.0
네오,0,5,5,0.0,100.0
일본,0,5,5,0.0,100.0
카프카,0,5,5,0.0,100.0
달고나,0,5,5,0.0,100.0
도로공사,0,5,5,0.0,100.0
데프콘,0,5,5,0.0,100.0
병호,0,5,5,0.0,100.0
티스토리,0,5,5,0.0,100.0
르윈,0,5,5,0.0,100.0
테미,0,5,5,0.0,100.0
시식,0,5,5,0.0,100.0
중국,0,5,5,0.0,100.0
리저,0,5,5,0.0,100.0
마루,0,5,5,0.0,100.0
옥마,0,5,5,0.0,100.0
체다,0,5,5,0.0,100.0
오렌지캬라멜,0,5,5,0.0,100.0
오렌지,0,5,5,0.0,100.0
언제,0,5,5,0.0,100.0
북카페,0,5,5,0.0,100.0
전라,0,5,5,0.0,100.0
감포,5,0,5,100.0,0.0
아시나,5,0,5,100.0,0.0
밀면,5,0,5,100.0,0.0
보문관광단지,5,0,5,100.0,0.0
북군동,5,0,5,100.0,0.0
불국사역,5,0,5,100.0,0.0
비향,5,0,5,100.0,0.0
삼층석탑,5,0,5,100.0,0.0
새송이,5,0,5,100.0,0.0
서라벌,5,0,5,100.0,0.0
송국영,5,0,5,100.0,0.0
송진주,5,0,5,100.0,0.0
스콘,5,0,5,100.0,0.0
시그,5,0,5,100.0,0.0
시티투어,5,0,5,100.0,0.0
신평동,5,0,5,100.0,0.0
금암동,0,5,5,0.0,100.0
안종,5,0,5,100.0,0.0
보문,5,0,5,100.0,0.0
미국,5,0,5,100.0,0.0
연주,5,0,5,100.0,0.0
무웅,5,0,5,100.0,0.0
경상도,5,0,5,100.0,0.0
계림,5,0,5,100.0,0.0
고속도로,5,0,5,100.0,0.0
교촌,5,0,5,100.0,0.0
김연우,5,0,5,100.0,0.0
김유신,5,0,5,100.0,0.0
김홍식,5,0,5,100.0,0.0
남산,5,0,5,100.0,0.0
노서동,5,0,5,100.0,0.0
대능원,5,0,5,100.0,0.0
대전,5,0,5,100.0,0.0
돌담길,5,0,5,100.0,0.0
두산,5,0,5,100.0,0.0
메카,5,0,5,100.0,0.0
무궁화호,5,0,5,100.0,0.0
언양,5,0,5,100.0,0.0
호공,0,5,5,0.0,100.0
케이트,5,0,5,100.0,0.0
조광민,5,0,5,100.0,0.0
강원도,0,5,5,0.0,100.0
가즈,0,5,5,0.0,100.0
훌리아,5,0,5,100.0,0.0
황남동,5,0,5,100.0,0.0
활산,5,0,5,100.0,0.0
현대,5,0,5,100.0,0.0
예쁘다,5,0,5,100.0,0.0
고원,0,5,5,0.0,100.0
한우구,5,0,5,100.0,0.0
포석정,5,0,5,100.0,0.0
쥬얼,5,0,5,100.0,0.0
고고씽,0,5,5,0.0,100.0
제주도,5,0,5,100.0,0.0
요기,5,0,5,100.0,0.0
구이면,0,5,5,0.0,100.0
워시,5,0,5,100.0,0.0
월지,5,0,5,100.0,0.0
육월,5,0,5,100.0,0.0
그대,0,5,5,0.0,100.0
이동은,5,0,5,100.0,0.0
누리,0,4,4,0.0,100.0
